TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
341.14444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;342.0797;341.1444396972656;-0.935272216796875;341.1444396972656;0.935272216796875;0.0
340.50604;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;341.62692;340.50604248046875;-1.120880126953125;340.50604248046875;1.120880126953125;0.0
341.15274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;342.06927;341.1527404785156;-0.916534423828125;341.1527404785156;0.916534423828125;0.0
337.59464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;339.29254;337.5946350097656;-1.697906494140625;337.5946350097656;1.697906494140625;0.0
335.00638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;337.43347;335.0063781738281;-2.427093505859375;335.0063781738281;2.427093505859375;0.0
344.9127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;344.8487;344.9126892089844;0.063995361328125;344.9126892089844;-0.063995361328125;0.0
347.51074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347.97696;347.5107421875;-0.466217041015625;347.5107421875;0.466217041015625;0.0
357.8047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;355.81375;357.8046875;1.990936279296875;357.8046875;-1.990936279296875;0.0
350.6034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;350.3858;350.6033935546875;0.21759033203125;350.6033935546875;-0.21759033203125;0.0
346.91345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347.59222;346.9134521484375;-0.67877197265625;346.9134521484375;0.67877197265625;0.0
352.82474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.9515;352.8247375488281;0.87322998046875;352.8247375488281;-0.87322998046875;0.0
358.90665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.6252;358.9066467285156;2.28143310546875;358.9066467285156;-2.28143310546875;0.0
363.54895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.18878;363.5489501953125;3.36016845703125;363.5489501953125;-3.36016845703125;0.0
365.51825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.60306;365.51824951171875;3.915191650390625;365.51824951171875;-3.915191650390625;0.0
363.40427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.05634;363.4042663574219;3.347930908203125;363.4042663574219;-3.347930908203125;0.0
362.4922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.34253;362.4921875;3.149658203125;362.4921875;-3.149658203125;0.0
