plant_id,model_name,method,forecast_stage,unit_id,MAE,RMSE,MAPE,OCV_min,OCV_max,OCV_total,OCV_min_severity,OCV_max_severity
TEC22,Linear,ols,hierarchical_reconciled,B2,6.370754278882633,11.13172564610878,47879682803.10962,96,188,284,301.948473288858,1201.4735667020063
TEC22,Linear,ols,hierarchical_reconciled,B3,10.725406231848666,15.110658224882382,11561734014.519478,65,65,130,203.9174581125675,159.12098979997387
TEC22,Linear,ols,hierarchical_reconciled,B4,30.60208964321105,41.10782616004901,781108662.6087873,9,95,104,12.17019636635682,1105.2980473273906
TEC22,Linear,wls,hierarchical_reconciled,B1,9.52169739464486,13.548382993660272,27730483745.206863,79,98,177,403.29866809822283,467.43852140449036
TEC22,Linear,wls,hierarchical_reconciled,B2,1.7737436680410392,6.2628458490301995,7636254161.731197,96,188,284,48.157279887044226,191.6211007737093
TEC22,Linear,wls,hierarchical_reconciled,B3,12.553399031978763,18.82742550509327,3467148601.9331417,65,65,130,61.15104603020382,47.71741988984452
TEC22,Linear,wls,hierarchical_reconciled,B4,29.16208406598993,39.427115141244506,530433691.82210934,9,95,104,8.264512303960132,747.4893587494363
TEC22,Linear,mint,hierarchical_reconciled,B1,9.478730134276407,12.133260260969822,44924374946.76801,79,98,177,653.3582590458318,757.2671142106909
TEC22,Linear,mint,hierarchical_reconciled,B2,2.9156965582299077,5.814606223014354,21888678170.03204,188,96,284,549.2657154697937,138.03877905638313
TEC22,Linear,mint,hierarchical_reconciled,B3,11.494880557693191,16.60794156603672,8025644118.458253,65,65,130,141.55047555230624,110.45474960807634
TEC22,Linear,mint,hierarchical_reconciled,B4,21.749586768246324,32.121392874871766,895989280.8253644,10,9,19,14.173949728630916,13.96011346457071
TEC22,Polynomial (d=2),independent,raw,B1,28.62734803201608,65.0712283903417,13.003934315071966,22,0,22,2750.0,0.0
TEC22,Polynomial (d=2),independent,raw,B2,2.305812101910828,11.614536819239833,1.2222120706808874,0,0,0,0.0,0.0
TEC22,Polynomial (d=2),independent,raw,B3,11.11700236975235,17.56257656968287,5.343764109642468,0,0,0,0.0,0.0
TEC22,Polynomial (d=2),independent,raw,B4,33.49223029228605,58.95496242380386,13.472923202967896,18,0,18,2022.2528349999995,0.0
TEC22,Polynomial (d=2),bottom_up,hierarchical_reconciled,B1,28.62734803201608,65.0712283903417,13.003934315071966,22,0,22,2750.0,0.0
TEC22,Polynomial (d=2),bottom_up,hierarchical_reconciled,B2,2.305812101910828,11.614536819239833,1.2222120706808874,0,0,0,0.0,0.0
TEC22,Polynomial (d=2),bottom_up,hierarchical_reconciled,B3,11.11700236975235,17.56257656968287,5.343764109642468,0,0,0,0.0,0.0
TEC22,Polynomial (d=2),bottom_up,hierarchical_reconciled,B4,33.49223029228605,58.95496242380386,13.472923202967896,18,0,18,2022.2528349999995,0.0
TEC22,Polynomial (d=2),top_down,hierarchical_reconciled,B1,22.600927508163903,43.72495841084249,10.21413823004664,14,11,25,553.3703270922697,107.64887072305245
TEC22,Polynomial (d=2),top_down,hierarchical_reconciled,B2,7.148918924100121,34.19193183579327,3.6148525089750456,14,0,14,1218.7855421674383,0.0
TEC22,Polynomial (d=2),top_down,hierarchical_reconciled,B3,50.97248840805198,74.78215714146017,23.63857733273217,108,0,108,2557.4460513658505,0.0
TEC22,Polynomial (d=2),top_down,hierarchical_reconciled,B4,104.86359779996421,143.06561020831214,41.36193534387323,3,148,151,337.002835,20029.505119027657
TEC22,Polynomial (d=2),ols,hierarchical_reconciled,B1,28.36688971087948,62.74005147491953,48414285342.70219,124,83,207,2746.903860237227,1502.622324516189
TEC22,Polynomial (d=2),ols,hierarchical_reconciled,B2,15.561425623594157,23.5574646960417,132452238256.62622,116,179,295,266.4733116239602,3970.2693341846057
TEC22,Polynomial (d=2),ols,hierarchical_reconciled,B3,21.425458198955017,31.415270932486834,18187529826.799084,95,109,204,200.31681318489217,2352.2182719745997
TEC22,Polynomial (d=2),ols,hierarchical_reconciled,B4,30.060818771201962,57.49689371137675,1986716747.5442703,25,21,46,2043.8390752839637,83.77638186216207
TEC22,Polynomial (d=2),wls,hierarchical_reconciled,B1,28.185182635170168,63.56410837154034,14147708798.1655,124,79,203,2749.0952405178655,431.92522030107
TEC22,Polynomial (d=2),wls,hierarchical_reconciled,B2,2.8194607106382885,11.481203890479623,5426477930.670842,116,179,295,10.91722996427875,162.6592287133211
TEC22,Polynomial (d=2),wls,hierarchical_reconciled,B3,11.677199136868149,18.128767128277868,1738177662.4029245,95,87,182,19.14422752675197,191.38355584061696
TEC22,Polynomial (d=2),wls,hierarchical_reconciled,B4,32.94963747476757,61.411511957740295,3320627114.896575,25,24,49,2058.3323893869992,428.00250287890515
