plant_id,model_name,method,forecast_stage,unit_id,MAE,RMSE,MAPE,OCV_min,OCV_max,OCV_total,OCV_min_severity,OCV_max_severity
TEC14,LSTM_custom_with_window,bottom_up,hierarchical_reconciled,B2,4.950883418299656,8.21595151574843,3.6821380105532797,0,0,0,0.0,0.0
TEC14,LSTM_custom_with_window,top_down,hierarchical_reconciled,B1,7.100164390389081,13.34097832088794,5.829683157083734,0,12,12,0.0,250.4580240244058
TEC14,LSTM_custom_with_window,top_down,hierarchical_reconciled,B2,7.090514195705147,12.466029374322725,5.73452534236427,0,15,15,0.0,312.361666049046
TEC14,LSTM_custom_with_window,ols,hierarchical_reconciled,B1,5.1812592544067,9.863898834501292,3249756610.372754,26,52,78,19.62587738037149,101.76309585571198
TEC14,LSTM_custom_with_window,ols,hierarchical_reconciled,B2,4.956799445590813,7.914384566980839,3403647427.0647326,42,36,78,84.71539306640409,53.774872472103716
TEC14,LSTM_custom_with_window,wls,hierarchical_reconciled,B1,5.181259254406705,9.863898834501295,3249756610.372771,26,52,78,19.625877380370568,101.76309585571362
TEC14,LSTM_custom_with_window,wls,hierarchical_reconciled,B2,4.956799445590823,7.914384566980847,3403647427.064737,42,36,78,84.71539306640521,53.77487247210273
TEC14,LSTM_custom_with_window,mint,hierarchical_reconciled,B1,5.179216222391603,9.897489981494129,2437321116.191523,26,52,78,14.719430041540766,76.32243650679256
TEC14,LSTM_custom_with_window,mint,hierarchical_reconciled,B2,4.925626472960354,7.921660152966616,2552739399.7607965,42,36,78,63.536640022779,40.331214913840554
TEC14,LSTM_mae_with_window,independent,raw,B1,5.314645252629244,10.087761327202886,826545693.3051397,32,76,108,12.194041064241901,19.154599064029753
TEC14,LSTM_mae_with_window,independent,raw,B2,4.992622826225538,7.723514158644933,5890013170.596179,1,106,107,0.6792305111885071,219.0131655856967
TEC14,LSTM_mae_with_window,bottom_up,hierarchical_reconciled,B1,5.314645252629244,10.087761327202886,826545693.3051397,32,76,108,12.194041064241901,19.154599064029753
TEC14,LSTM_mae_with_window,bottom_up,hierarchical_reconciled,B2,4.992622826225538,7.723514158644933,5890013170.596179,1,106,107,0.6792305111885071,219.0131655856967
TEC14,LSTM_mae_with_window,top_down,hierarchical_reconciled,B1,7.1096976671040135,13.211103656136064,672001343.0287431,24,17,41,23.54516762183976,251.20556976355547
TEC14,LSTM_mae_with_window,top_down,hierarchical_reconciled,B2,7.241851737987324,12.658831460162297,635431547.4521234,24,21,45,22.05843118702996,335.25132087653174
TEC14,LSTM_mae_with_window,ols,hierarchical_reconciled,B1,5.1636502902884995,9.651465486818518,3049198496.4721146,54,54,108,60.52329838663996,56.04884874944786
TEC14,LSTM_mae_with_window,ols,hierarchical_reconciled,B2,4.967320848453003,7.733609967802063,6717740577.055825,13,95,108,16.618979459007154,240.59525298205176
TEC14,LSTM_mae_with_window,wls,hierarchical_reconciled,B1,5.163650290288504,9.65146548681852,3049198496.4721413,54,54,108,60.52329838663918,56.048848749449704
TEC14,LSTM_mae_with_window,wls,hierarchical_reconciled,B2,4.967320848453004,7.733609967802064,6717740577.055782,13,95,108,16.61897945900736,240.59525298204989
TEC14,LSTM_mae_with_window,mint,hierarchical_reconciled,B1,5.175253212659755,9.720849351419783,2375980474.761826,51,57,108,46.219153348896725,44.60344296622222
TEC14,LSTM_mae_with_window,mint,hierarchical_reconciled,B2,4.9387674414683795,7.678594297780314,6393069889.035959,7,101,108,10.449987398405701,232.28531318119147
TEC14,RandomForest_mae_with_window,independent,raw,B1,4.814857461318328,9.617077821754984,2971943405.5412216,0,41,41,0.0,110.25910021083598
TEC14,RandomForest_mae_with_window,independent,raw,B2,6.342455404868216,9.467580976272325,4552992426.399474,0,107,107,0.0,173.51807941004063
TEC14,RandomForest_mae_with_window,bottom_up,hierarchical_reconciled,B1,4.814857461318328,9.617077821754984,2971943405.5412216,0,41,41,0.0,110.25910021083598
TEC14,RandomForest_mae_with_window,bottom_up,hierarchical_reconciled,B2,6.342455404868216,9.467580976272325,4552992426.399474,0,107,107,0.0,173.51807941004063
TEC14,RandomForest_mae_with_window,top_down,hierarchical_reconciled,B1,7.081026436991926,13.660630676160645,4533540794.120274,0,42,42,0.0,452.89973216485885
TEC14,RandomForest_mae_with_window,top_down,hierarchical_reconciled,B2,7.93103761766192,12.990175228803464,4254822693.999326,0,47,47,0.0,492.20529108386637
TEC14,RandomForest_mae_with_window,ols,hierarchical_reconciled,B1,5.243717698748087,9.570890878410239,8531718288.165905,36,72,108,37.215116377276246,287.2259626327328
TEC14,RandomForest_mae_with_window,ols,hierarchical_reconciled,B2,6.336802061209461,9.227889115748177,8288290981.781313,16,91,107,25.974389825738562,286.2623951489596
TEC14,RandomForest_mae_with_window,wls,hierarchical_reconciled,B1,5.243717698748091,9.57089087841024,8531718288.165916,36,72,108,37.215116377275194,287.2259626327343
TEC14,RandomForest_mae_with_window,wls,hierarchical_reconciled,B2,6.336802061209467,9.227889115748184,8288290981.781277,16,91,107,25.974389825738953,286.2623951489579
TEC14,RandomForest_mae_with_window,mint,hierarchical_reconciled,B1,5.054539839826668,9.489041438214189,7128262195.420297,36,72,108,27.660608525100542,242.7336756914434
TEC14,RandomForest_mae_with_window,mint,hierarchical_reconciled,B2,6.303565181240509,9.191986635294377,7271807524.467145,16,91,107,17.94742248911399,256.5430440881986
TEC14,RandomForest_custom_with_window,independent,raw,B1,4.517663121127395,9.444049419574712,3.631896044143306,0,0,0,0.0,0.0
TEC14,RandomForest_custom_with_window,independent,raw,B2,5.8995606385249415,9.313365103522555,4.2726797334270605,0,0,0,0.0,0.0
TEC14,RandomForest_custom_with_window,bottom_up,hierarchical_reconciled,B1,4.517663121127395,9.444049419574712,3.631896044143306,0,0,0,0.0,0.0
TEC14,RandomForest_custom_with_window,bottom_up,hierarchical_reconciled,B2,5.8995606385249415,9.313365103522555,4.2726797334270605,0,0,0,0.0,0.0
TEC14,RandomForest_custom_with_window,top_down,hierarchical_reconciled,B1,6.628478017753037,13.169583320149775,5.562912981909323,0,12,12,0.0,284.4064691914522
TEC14,RandomForest_custom_with_window,top_down,hierarchical_reconciled,B2,7.505555348861709,12.532889585817793,5.997214231133567,0,17,17,0.0,334.351369358988
TEC14,RandomForest_custom_with_window,ols,hierarchical_reconciled,B1,4.826453230881665,9.082102418618708,4374127606.810963,32,46,78,37.767470226082146,132.40228536685987
TEC14,RandomForest_custom_with_window,ols,hierarchical_reconciled,B2,5.7709873490884105,8.635088969577394,3012515250.691556,19,58,77,32.47725357031548,80.96021141599535
TEC14,RandomForest_custom_with_window,wls,hierarchical_reconciled,B1,4.826453230881668,9.08210241861871,4374127606.810972,32,46,78,37.767470226081095,132.40228536686135
TEC14,RandomForest_custom_with_window,wls,hierarchical_reconciled,B2,5.770987349088417,8.635088969577401,3012515250.6915264,19,58,77,32.47725357031595,80.96021141599373
TEC14,RandomForest_custom_with_window,mint,hierarchical_reconciled,B1,4.668106151262168,9.097563783414836,3280600627.4694023,32,46,78,28.325645070621512,99.30186309307297
TEC14,RandomForest_custom_with_window,mint,hierarchical_reconciled,B2,5.776746619538896,8.730003926464933,2259389830.063984,19,58,77,24.35797667995534,60.720249749851725
